Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
ARS,2,2,2,4,2,3,2,5,3,2,4,2,3,2,2,3,3,4,3,2,2,2,4,2,2,4,2,3,3,5,2,3,3,2,3,2,3,2
AVL,4,2,2,4,2,3,3,2,3,2,2,2,3,2,5,4,3,2,3,2,2,4,2,4,2,3,2,3,2,2,5,3,4,2,3,3,4,2
BOU,3,4,3,3,3,3,4,2,2,2,5,4,2,3,2,3,2,2,2,3,4,2,2,2,4,5,2,2,2,2,2,2,4,3,3,4,3,3
BRE,3,2,2,2,4,2,2,3,2,3,3,4,4,2,3,2,3,5,2,2,2,3,5,2,4,2,3,4,2,4,3,3,2,2,2,2,2,4
BHA,2,2,3,4,3,2,3,4,5,2,2,2,2,3,3,2,4,2,3,2,2,2,2,3,2,2,2,2,5,4,3,4,2,3,2,3,4,4
BUR,5,2,3,3,2,4,4,3,3,2,2,4,3,2,2,3,2,2,4,3,2,5,2,4,4,2,2,2,3,3,2,2,3,2,3,4,3,2
CHE,4,2,2,2,2,3,2,2,4,3,3,5,4,3,3,2,2,2,2,2,2,4,2,2,5,3,3,4,4,2,4,2,2,3,3,3,2,2
CRY,2,4,3,2,3,2,3,2,4,3,2,2,2,2,2,4,5,3,3,3,4,2,3,3,2,2,3,2,4,2,2,5,4,3,2,4,2,3
EVE,2,3,2,2,4,3,2,2,4,2,3,2,4,2,4,3,2,3,5,2,3,2,3,5,2,3,3,3,4,2,4,2,3,2,3,2,2,4
FUL,2,3,4,5,2,2,3,2,3,3,4,3,2,4,2,3,4,2,2,4,3,2,2,2,3,3,3,2,3,2,2,4,2,4,2,3,5,2
LIV,3,2,4,3,2,3,3,3,2,2,2,3,5,2,2,2,4,4,2,4,2,3,4,2,3,2,2,5,2,3,2,3,2,2,2,3,3,2
LUT,3,2,3,3,2,2,2,3,2,3,4,3,2,3,4,5,2,4,2,3,2,3,4,2,4,4,3,2,2,3,4,2,5,3,2,2,2,2
MCI,2,4,2,2,2,2,2,4,3,3,2,3,4,3,3,2,2,3,2,2,4,2,3,2,3,2,4,4,3,4,3,2,2,3,2,2,2,3
MUN,2,3,2,4,3,2,2,3,2,5,2,2,2,4,3,2,4,2,3,2,3,2,3,3,2,2,5,2,2,3,3,4,2,4,2,2,4,3
NEW,3,5,4,3,3,2,2,2,2,2,4,2,3,4,2,3,2,2,2,4,5,3,2,2,2,4,2,3,2,3,2,2,3,3,2,2,3,3
NFO,4,2,3,3,2,5,3,2,2,4,3,2,3,2,2,2,3,2,4,4,3,4,2,4,3,3,4,3,2,2,2,3,2,2,5,2,3,2
SHU,2,2,5,2,3,4,2,2,4,4,2,3,2,2,4,3,3,3,2,5,3,2,3,2,3,2,4,2,3,2,4,3,3,2,4,2,2,3
TOT,3,4,2,2,2,4,4,2,2,2,3,2,3,5,3,4,2,2,3,2,3,3,2,3,2,3,2,3,2,2,2,2,4,5,4,4,2,2
WHU,2,3,3,2,5,4,2,4,3,2,3,2,2,2,3,2,2,4,4,3,2,2,3,4,2,3,2,2,3,4,3,2,2,2,4,3,2,5
WOL,3,3,2,2,4,2,5,3,2,4,2,3,2,4,2,2,2,3,3,2,3,4,3,3,3,2,4,2,2,3,2,3,2,4,2,5,2,4